YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request
2019-01,21,4,37,8,0,9,21,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,1,11,1,0,1,0,0,1,6,42,22,0,0,0,4,0,23,0,8,0,0,24,6,17,0,0,42,1,1,0,0,0
2019-01,22,11,37,11,0,32,42,5,0,1,0,4,0,0,0,0,0,2,4,0,0,0,4,0,1,19,0,0,3,0,1,8,6,82,35,0,0,0,2,0,15,1,5,0,0,10,6,14,3,0,74,1,2,0,0,0
2019-01,23,4,16,3,0,17,25,10,2,0,1,1,0,0,2,0,0,1,2,0,0,1,6,0,7,17,0,0,1,0,6,0,8,21,6,0,0,0,4,1,31,0,3,0,0,5,6,8,0,0,31,1,0,0,0,0
2019-01,24,26,49,23,1,53,23,8,0,2,0,5,0,0,0,0,0,0,2,1,0,0,6,0,2,37,0,0,10,0,0,2,6,107,20,0,0,0,0,0,30,2,5,0,0,10,8,41,0,0,51,1,0,0,0,0
2019-01,25,16,87,17,0,41,82,26,1,2,0,2,0,0,0,0,0,1,1,0,0,1,7,0,10,31,2,0,6,0,0,3,3,123,16,0,0,0,16,0,69,1,5,0,0,4,6,16,1,0,84,2,4,0,0,0
2019-01,26,1,10,1,0,8,17,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,7,0,0,0,0,0,3,1,5,2,0,0,0,5,0,17,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0
2019-01,27,0,8,0,0,3,16,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,2,0,7,1,0,0,0,2,0,18,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0
2019-01,28,2,13,6,0,8,32,9,0,0,0,3,0,0,0,0,0,3,0,0,1,0,1,2,0,52,1,0,12,0,0,4,4,39,20,0,0,0,7,0,44,0,27,0,0,2,1,6,0,0,17,3,0,0,0,0
2019-01,29,5,16,4,0,8,23,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,3,0,0,3,3,13,10,0,0,0,6,0,15,0,14,0,0,0,5,3,0,0,11,0,0,1,0,0
2019-01,30,14,28,11,0,19,13,6,2,0,0,4,0,0,0,0,1,0,2,0,0,0,3,0,12,21,0,0,4,0,0,6,0,21,6,0,0,0,9,0,16,0,6,0,0,4,7,2,4,0,32,1,1,0,0,0
2019-01,31,8,19,5,0,14,9,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,37,8,0,3,0,0,6,1,22,6,0,0,0,4,0,12,0,9,0,0,3,1,4,0,0,7,0,1,0,0,0
2019-01,32,1,3,1,0,0,9,1,0,1,0,8,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,15,0,0,1,1,12,12,0,1,0,1,1,16,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0
2019-01,33,1,1,0,0,4,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,1,1,0,10,1,0,0,0,0,7,0,5,0,0,0,0,1,0,0,6,1,0,0,0,0
2019-01,34,3,9,1,0,4,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,5,0,0,0,0,6,2,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0
2019-01,35,5,3,2,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,3,9,1,0,0,0,1,0,3,0,5,0,0,1,2,1,0,0,2,1,2,0,0,0
2019-01,36,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0
2019-01,37,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,3,0,0,0,1,1,2,0,0,0,0,0,0,0
2019-01,38,1,5,1,0,8,3,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,23,6,2,0,0,0,1,0,3,0,1,0,0,0,1,3,1,0,5,0,0,0,0,0
2019-01,39,3,3,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,0,0,0,2,1,14,2,0,0,0,7,0,2,0,1,0,0,0,0,4,0,0,5,0,0,0,0,0
2019-01,40,0,3,1,0,2,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,3,1,0,0,0,0
2019-01,41,2,5,1,1,3,1,3,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,41,11,0,7,0,0,3,6,20,14,0,0,0,5,0,14,0,6,0,0,0,0,1,0,0,31,0,1,0,0,0
2019-01,42,3,29,2,0,10,2,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,7,4,0,1,0,0,0,1,7,8,0,0,0,0,0,13,0,2,0,0,0,0,2,2,0,9,0,0,0,0,0
2019-01,43,3,17,1,1,6,1,51,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,7,4,8,0,5,0,2,0,6,42,12,0,0,0,3,0,18,2,3,0,0,1,6,4,3,0,23,0,0,0,0,0
2019-01,44,3,32,2,0,7,2,23,0,1,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,6,1,0,1,0,0,1,3,115,4,0,0,0,8,0,13,0,1,0,0,3,3,8,3,0,30,0,2,0,0,0
