SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Missed Garbage Pick-Up Complaint,2019-05,45,28.4
Missed Garbage Pick-Up Complaint,2019-05,46,8.2
Missed Garbage Pick-Up Complaint,2019-05,47,2.9
Missed Garbage Pick-Up Complaint,2019-05,48,15.8
Missed Garbage Pick-Up Complaint,2019-05,49,6.1
Missed Garbage Pick-Up Complaint,2019-05,50,42.5
Missed Garbage Pick-Up Complaint,2019-05,51,8.2
Missed Garbage Pick-Up Complaint,2019-05,52,0.8
Missed Garbage Pick-Up Complaint,2019-05,53,12.3
Missed Garbage Pick-Up Complaint,2019-05,55,1.7
Missed Garbage Pick-Up Complaint,2019-05,56,2.7
Missed Garbage Pick-Up Complaint,2019-05,57,3.6
Missed Garbage Pick-Up Complaint,2019-05,58,3.6
Missed Garbage Pick-Up Complaint,2019-05,59,0.6
Missed Garbage Pick-Up Complaint,2019-05,60,1.8
Missed Garbage Pick-Up Complaint,2019-05,61,5.1
Missed Garbage Pick-Up Complaint,2019-05,63,5.9
Missed Garbage Pick-Up Complaint,2019-05,64,3.6
Missed Garbage Pick-Up Complaint,2019-05,66,9.7
Missed Garbage Pick-Up Complaint,2019-05,67,2.5
Missed Garbage Pick-Up Complaint,2019-05,68,11.3
Missed Garbage Pick-Up Complaint,2019-05,69,2.8
Missed Garbage Pick-Up Complaint,2019-05,70,1.3
Missed Garbage Pick-Up Complaint,2019-05,71,3.6
Missed Garbage Pick-Up Complaint,2019-05,72,0.8
Missed Garbage Pick-Up Complaint,2019-05,73,5.7
Missed Garbage Pick-Up Complaint,2019-05,74,1.0
Missed Garbage Pick-Up Complaint,2019-05,75,1.7
Missed Garbage Pick-Up Complaint,2019-05,76,0.4
Missed Garbage Pick-Up Complaint,2019-05,77,0.8
Missed Garbage Pick-Up Complaint,2019-06,1,0.3
Missed Garbage Pick-Up Complaint,2019-06,2,0.9
Missed Garbage Pick-Up Complaint,2019-06,3,0.8
Missed Garbage Pick-Up Complaint,2019-06,4,0.7
Missed Garbage Pick-Up Complaint,2019-06,5,2.6
Missed Garbage Pick-Up Complaint,2019-06,6,3.7
Missed Garbage Pick-Up Complaint,2019-06,7,2.6
Missed Garbage Pick-Up Complaint,2019-06,8,1.8
Missed Garbage Pick-Up Complaint,2019-06,9,2.9
Missed Garbage Pick-Up Complaint,2019-06,10,2.9
Missed Garbage Pick-Up Complaint,2019-06,11,0.9
Missed Garbage Pick-Up Complaint,2019-06,12,1.7
Missed Garbage Pick-Up Complaint,2019-06,13,1.7
Missed Garbage Pick-Up Complaint,2019-06,14,1.4
Missed Garbage Pick-Up Complaint,2019-06,15,0.8
Missed Garbage Pick-Up Complaint,2019-06,16,3.6
Missed Garbage Pick-Up Complaint,2019-06,17,1.0
Missed Garbage Pick-Up Complaint,2019-06,18,3.0
Missed Garbage Pick-Up Complaint,2019-06,19,1.1
Missed Garbage Pick-Up Complaint,2019-06,20,2.0
Missed Garbage Pick-Up Complaint,2019-06,21,3.1
Missed Garbage Pick-Up Complaint,2019-06,22,1.9
Missed Garbage Pick-Up Complaint,2019-06,23,4.7
Missed Garbage Pick-Up Complaint,2019-06,24,2.8
Missed Garbage Pick-Up Complaint,2019-06,25,3.1
Missed Garbage Pick-Up Complaint,2019-06,26,20.1
Missed Garbage Pick-Up Complaint,2019-06,27,12.0
Missed Garbage Pick-Up Complaint,2019-06,28,8.6
Missed Garbage Pick-Up Complaint,2019-06,29,14.2
Missed Garbage Pick-Up Complaint,2019-06,30,0.7
Missed Garbage Pick-Up Complaint,2019-06,31,7.0
Missed Garbage Pick-Up Complaint,2019-06,33,10.1
Missed Garbage Pick-Up Complaint,2019-06,34,2.2
Missed Garbage Pick-Up Complaint,2019-06,36,1.8
Missed Garbage Pick-Up Complaint,2019-06,38,7.6
Missed Garbage Pick-Up Complaint,2019-06,39,0.6
Missed Garbage Pick-Up Complaint,2019-06,41,1.6
Missed Garbage Pick-Up Complaint,2019-06,42,29.1
Missed Garbage Pick-Up Complaint,2019-06,43,13.0
Missed Garbage Pick-Up Complaint,2019-06,44,5.1
Missed Garbage Pick-Up Complaint,2019-06,45,26.2
Missed Garbage Pick-Up Complaint,2019-06,46,8.6
Missed Garbage Pick-Up Complaint,2019-06,48,18.6
Missed Garbage Pick-Up Complaint,2019-06,49,3.7
Missed Garbage Pick-Up Complaint,2019-06,50,10.9
Missed Garbage Pick-Up Complaint,2019-06,51,9.5
Missed Garbage Pick-Up Complaint,2019-06,52,3.9
Missed Garbage Pick-Up Complaint,2019-06,53,13.0
Missed Garbage Pick-Up Complaint,2019-06,54,14.2
Missed Garbage Pick-Up Complaint,2019-06,55,8.9
Missed Garbage Pick-Up Complaint,2019-06,56,3.0
Missed Garbage Pick-Up Complaint,2019-06,57,3.9
Missed Garbage Pick-Up Complaint,2019-06,58,0.6
Missed Garbage Pick-Up Complaint,2019-06,59,1.2
Missed Garbage Pick-Up Complaint,2019-06,60,1.8
Missed Garbage Pick-Up Complaint,2019-06,61,27.9
Missed Garbage Pick-Up Complaint,2019-06,62,1.7
Missed Garbage Pick-Up Complaint,2019-06,63,2.6
Missed Garbage Pick-Up Complaint,2019-06,64,24.8
Missed Garbage Pick-Up Complaint,2019-06,65,13.6
Missed Garbage Pick-Up Complaint,2019-06,66,3.6
Missed Garbage Pick-Up Complaint,2019-06,67,2.8
Missed Garbage Pick-Up Complaint,2019-06,68,4.3
Missed Garbage Pick-Up Complaint,2019-06,69,4.9
Missed Garbage Pick-Up Complaint,2019-06,70,3.8
Missed Garbage Pick-Up Complaint,2019-06,71,3.6
Missed Garbage Pick-Up Complaint,2019-06,72,0.9
Missed Garbage Pick-Up Complaint,2019-06,73,5.8
Missed Garbage Pick-Up Complaint,2019-06,74,1.6
Missed Garbage Pick-Up Complaint,2019-06,75,1.0
Missed Garbage Pick-Up Complaint,2019-06,77,1.3
Missed Garbage Pick-Up Complaint,2019-07,1,0.5
Missed Garbage Pick-Up Complaint,2019-07,2,1.0
Missed Garbage Pick-Up Complaint,2019-07,3,4.0
Missed Garbage Pick-Up Complaint,2019-07,4,0.8
Missed Garbage Pick-Up Complaint,2019-07,5,1.6
Missed Garbage Pick-Up Complaint,2019-07,6,2.1
Missed Garbage Pick-Up Complaint,2019-07,7,1.9
Missed Garbage Pick-Up Complaint,2019-07,8,1.8
Missed Garbage Pick-Up Complaint,2019-07,9,0.8
Missed Garbage Pick-Up Complaint,2019-07,10,1.0
Missed Garbage Pick-Up Complaint,2019-07,11,5.7
Missed Garbage Pick-Up Complaint,2019-07,12,1.0
Missed Garbage Pick-Up Complaint,2019-07,13,2.4
Missed Garbage Pick-Up Complaint,2019-07,14,2.8
Missed Garbage Pick-Up Complaint,2019-07,15,1.6
Missed Garbage Pick-Up Complaint,2019-07,16,3.9
Missed Garbage Pick-Up Complaint,2019-07,17,1.1
Missed Garbage Pick-Up Complaint,2019-07,18,2.0
Missed Garbage Pick-Up Complaint,2019-07,19,1.0
Missed Garbage Pick-Up Complaint,2019-07,20,4.3
Missed Garbage Pick-Up Complaint,2019-07,21,1.0
Missed Garbage Pick-Up Complaint,2019-07,22,1.3
Missed Garbage Pick-Up Complaint,2019-07,23,4.9
Missed Garbage Pick-Up Complaint,2019-07,24,1.9
Missed Garbage Pick-Up Complaint,2019-07,25,3.9
Missed Garbage Pick-Up Complaint,2019-07,26,30.4
Missed Garbage Pick-Up Complaint,2019-07,27,18.6
Missed Garbage Pick-Up Complaint,2019-07,28,6.9
Missed Garbage Pick-Up Complaint,2019-07,29,4.9
Missed Garbage Pick-Up Complaint,2019-07,30,0.7
Missed Garbage Pick-Up Complaint,2019-07,31,12.0
Missed Garbage Pick-Up Complaint,2019-07,32,1.0
Missed Garbage Pick-Up Complaint,2019-07,33,10.3
Missed Garbage Pick-Up Complaint,2019-07,34,12.6
Missed Garbage Pick-Up Complaint,2019-07,35,5.5
Missed Garbage Pick-Up Complaint,2019-07,38,1.6
Missed Garbage Pick-Up Complaint,2019-07,39,0.1
Missed Garbage Pick-Up Complaint,2019-07,40,5.5
Missed Garbage Pick-Up Complaint,2019-07,41,2.6
Missed Garbage Pick-Up Complaint,2019-07,42,7.0
Missed Garbage Pick-Up Complaint,2019-07,43,5.2
Missed Garbage Pick-Up Complaint,2019-07,44,5.0
Missed Garbage Pick-Up Complaint,2019-07,45,16.6
Missed Garbage Pick-Up Complaint,2019-07,46,27.6
Missed Garbage Pick-Up Complaint,2019-07,48,4.2
Missed Garbage Pick-Up Complaint,2019-07,49,5.7
Missed Garbage Pick-Up Complaint,2019-07,50,8.4
Missed Garbage Pick-Up Complaint,2019-07,51,23.7
Missed Garbage Pick-Up Complaint,2019-07,52,12.4
Missed Garbage Pick-Up Complaint,2019-07,53,7.2
Missed Garbage Pick-Up Complaint,2019-07,56,3.8
Missed Garbage Pick-Up Complaint,2019-07,58,2.9
Missed Garbage Pick-Up Complaint,2019-07,59,2.6
Missed Garbage Pick-Up Complaint,2019-07,60,3.6
Missed Garbage Pick-Up Complaint,2019-07,61,6.0
Missed Garbage Pick-Up Complaint,2019-07,62,12.0
Missed Garbage Pick-Up Complaint,2019-07,63,6.5
Missed Garbage Pick-Up Complaint,2019-07,64,11.4
Missed Garbage Pick-Up Complaint,2019-07,65,6.8
Missed Garbage Pick-Up Complaint,2019-07,66,5.9
Missed Garbage Pick-Up Complaint,2019-07,67,5.1
Missed Garbage Pick-Up Complaint,2019-07,68,4.1
Missed Garbage Pick-Up Complaint,2019-07,69,4.9
Missed Garbage Pick-Up Complaint,2019-07,70,3.2
Missed Garbage Pick-Up Complaint,2019-07,71,6.0
Missed Garbage Pick-Up Complaint,2019-07,72,0.9
Missed Garbage Pick-Up Complaint,2019-07,73,5.9
Missed Garbage Pick-Up Complaint,2019-07,74,0.8
Missed Garbage Pick-Up Complaint,2019-07,75,2.6
Missed Garbage Pick-Up Complaint,2019-07,77,1.8
Missed Garbage Pick-Up Complaint,2019-08,1,0.8
Missed Garbage Pick-Up Complaint,2019-08,2,2.6
Missed Garbage Pick-Up Complaint,2019-08,3,3.7
Missed Garbage Pick-Up Complaint,2019-08,4,1.4
Missed Garbage Pick-Up Complaint,2019-08,5,1.0
Missed Garbage Pick-Up Complaint,2019-08,6,3.8
Missed Garbage Pick-Up Complaint,2019-08,7,1.0
Missed Garbage Pick-Up Complaint,2019-08,8,0.5
Missed Garbage Pick-Up Complaint,2019-08,10,2.5
Missed Garbage Pick-Up Complaint,2019-08,11,0.9
Missed Garbage Pick-Up Complaint,2019-08,12,1.1
Missed Garbage Pick-Up Complaint,2019-08,13,1.4
Missed Garbage Pick-Up Complaint,2019-08,14,2.5
Missed Garbage Pick-Up Complaint,2019-08,15,1.1
Missed Garbage Pick-Up Complaint,2019-08,16,2.7
Missed Garbage Pick-Up Complaint,2019-08,17,1.7
Missed Garbage Pick-Up Complaint,2019-08,18,2.0
Missed Garbage Pick-Up Complaint,2019-08,19,1.9
Missed Garbage Pick-Up Complaint,2019-08,20,3.9
Missed Garbage Pick-Up Complaint,2019-08,21,1.2
Missed Garbage Pick-Up Complaint,2019-08,22,1.8
Missed Garbage Pick-Up Complaint,2019-08,23,3.3
Missed Garbage Pick-Up Complaint,2019-08,24,1.1
Missed Garbage Pick-Up Complaint,2019-08,25,5.8
Missed Garbage Pick-Up Complaint,2019-08,26,15.7
Missed Garbage Pick-Up Complaint,2019-08,27,8.6
Missed Garbage Pick-Up Complaint,2019-08,28,8.0
Missed Garbage Pick-Up Complaint,2019-08,29,20.9
Missed Garbage Pick-Up Complaint,2019-08,30,0.6
Missed Garbage Pick-Up Complaint,2019-08,31,6.8
Missed Garbage Pick-Up Complaint,2019-08,32,1.2
Missed Garbage Pick-Up Complaint,2019-08,33,1.7
Missed Garbage Pick-Up Complaint,2019-08,34,8.8
Missed Garbage Pick-Up Complaint,2019-08,35,1.0
Missed Garbage Pick-Up Complaint,2019-08,38,11.7
Missed Garbage Pick-Up Complaint,2019-08,41,1.9
Missed Garbage Pick-Up Complaint,2019-08,42,28.1
Missed Garbage Pick-Up Complaint,2019-08,43,25.0
Missed Garbage Pick-Up Complaint,2019-08,44,28.5
Missed Garbage Pick-Up Complaint,2019-08,45,39.2
Missed Garbage Pick-Up Complaint,2019-08,46,10.9
Missed Garbage Pick-Up Complaint,2019-08,48,30.7
Missed Garbage Pick-Up Complaint,2019-08,49,5.1
Missed Garbage Pick-Up Complaint,2019-08,51,41.4
Missed Garbage Pick-Up Complaint,2019-08,52,5.7
Missed Garbage Pick-Up Complaint,2019-08,53,3.6
Missed Garbage Pick-Up Complaint,2019-08,55,4.5
Missed Garbage Pick-Up Complaint,2019-08,56,3.4
Missed Garbage Pick-Up Complaint,2019-08,57,6.3
Missed Garbage Pick-Up Complaint,2019-08,58,4.5
Missed Garbage Pick-Up Complaint,2019-08,59,0.9
Missed Garbage Pick-Up Complaint,2019-08,60,6.0
Missed Garbage Pick-Up Complaint,2019-08,61,16.3
Missed Garbage Pick-Up Complaint,2019-08,63,4.9
Missed Garbage Pick-Up Complaint,2019-08,64,7.9
Missed Garbage Pick-Up Complaint,2019-08,65,2.1
Missed Garbage Pick-Up Complaint,2019-08,66,11.5
Missed Garbage Pick-Up Complaint,2019-08,67,9.9
Missed Garbage Pick-Up Complaint,2019-08,68,33.9
Missed Garbage Pick-Up Complaint,2019-08,69,26.8
Missed Garbage Pick-Up Complaint,2019-08,70,4.8
Missed Garbage Pick-Up Complaint,2019-08,71,9.9
Missed Garbage Pick-Up Complaint,2019-08,72,3.9
Missed Garbage Pick-Up Complaint,2019-08,73,7.7
Missed Garbage Pick-Up Complaint,2019-08,74,5.6
Missed Garbage Pick-Up Complaint,2019-08,75,1.8
Missed Garbage Pick-Up Complaint,2019-08,77,1.0
Missed Garbage Pick-Up Complaint,2019-09,1,0.4
Missed Garbage Pick-Up Complaint,2019-09,2,1.2
Missed Garbage Pick-Up Complaint,2019-09,3,2.8
Missed Garbage Pick-Up Complaint,2019-09,4,0.8
Missed Garbage Pick-Up Complaint,2019-09,5,1.9
Missed Garbage Pick-Up Complaint,2019-09,6,1.8
Missed Garbage Pick-Up Complaint,2019-09,7,1.4
Missed Garbage Pick-Up Complaint,2019-09,8,2.9
Missed Garbage Pick-Up Complaint,2019-09,9,0.7
Missed Garbage Pick-Up Complaint,2019-09,10,1.0
Missed Garbage Pick-Up Complaint,2019-09,11,2.0
Missed Garbage Pick-Up Complaint,2019-09,12,2.9
Missed Garbage Pick-Up Complaint,2019-09,14,2.7
Missed Garbage Pick-Up Complaint,2019-09,15,1.1
Missed Garbage Pick-Up Complaint,2019-09,16,2.8
Missed Garbage Pick-Up Complaint,2019-09,17,1.2
Missed Garbage Pick-Up Complaint,2019-09,18,1.1
Missed Garbage Pick-Up Complaint,2019-09,19,1.5
Missed Garbage Pick-Up Complaint,2019-09,20,3.1
Missed Garbage Pick-Up Complaint,2019-09,21,2.2
Missed Garbage Pick-Up Complaint,2019-09,22,1.1
Missed Garbage Pick-Up Complaint,2019-09,23,2.7
Missed Garbage Pick-Up Complaint,2019-09,24,4.4
Missed Garbage Pick-Up Complaint,2019-09,25,2.9
Missed Garbage Pick-Up Complaint,2019-09,26,14.1
Missed Garbage Pick-Up Complaint,2019-09,27,20.0
Missed Garbage Pick-Up Complaint,2019-09,28,3.3
Missed Garbage Pick-Up Complaint,2019-09,29,11.9
Missed Garbage Pick-Up Complaint,2019-09,30,1.8
Missed Garbage Pick-Up Complaint,2019-09,31,6.1
Missed Garbage Pick-Up Complaint,2019-09,32,0.6
Missed Garbage Pick-Up Complaint,2019-09,34,3.8
Missed Garbage Pick-Up Complaint,2019-09,35,1.9
Missed Garbage Pick-Up Complaint,2019-09,38,1.2
Missed Garbage Pick-Up Complaint,2019-09,39,0.9
Missed Garbage Pick-Up Complaint,2019-09,40,7.2
Missed Garbage Pick-Up Complaint,2019-09,41,0.8
Missed Garbage Pick-Up Complaint,2019-09,42,2.9
Missed Garbage Pick-Up Complaint,2019-09,43,3.8
Missed Garbage Pick-Up Complaint,2019-09,44,2.0
Missed Garbage Pick-Up Complaint,2019-09,45,13.8
Missed Garbage Pick-Up Complaint,2019-09,46,26.0
Missed Garbage Pick-Up Complaint,2019-09,47,34.2
Missed Garbage Pick-Up Complaint,2019-09,48,35.5
Missed Garbage Pick-Up Complaint,2019-09,49,3.9
Missed Garbage Pick-Up Complaint,2019-09,50,16.3
Missed Garbage Pick-Up Complaint,2019-09,51,4.5
Missed Garbage Pick-Up Complaint,2019-09,52,4.0
Missed Garbage Pick-Up Complaint,2019-09,53,4.7
Missed Garbage Pick-Up Complaint,2019-09,54,5.1
Missed Garbage Pick-Up Complaint,2019-09,55,10.8
Missed Garbage Pick-Up Complaint,2019-09,56,1.8
Missed Garbage Pick-Up Complaint,2019-09,58,1.9
Missed Garbage Pick-Up Complaint,2019-09,59,0.4
Missed Garbage Pick-Up Complaint,2019-09,60,4.7
Missed Garbage Pick-Up Complaint,2019-09,61,6.8
Missed Garbage Pick-Up Complaint,2019-09,62,1.7
Missed Garbage Pick-Up Complaint,2019-09,64,2.5
Missed Garbage Pick-Up Complaint,2019-09,66,4.4
Missed Garbage Pick-Up Complaint,2019-09,67,14.8
Missed Garbage Pick-Up Complaint,2019-09,68,6.0
Missed Garbage Pick-Up Complaint,2019-09,69,2.7
Missed Garbage Pick-Up Complaint,2019-09,70,1.7
Missed Garbage Pick-Up Complaint,2019-09,71,6.2
Missed Garbage Pick-Up Complaint,2019-09,72,1.1
Missed Garbage Pick-Up Complaint,2019-09,73,4.4
Missed Garbage Pick-Up Complaint,2019-09,74,2.1
Missed Garbage Pick-Up Complaint,2019-09,75,2.9
Missed Garbage Pick-Up Complaint,2019-09,77,0.9
Missed Garbage Pick-Up Complaint,2019-10,2,0.6
Missed Garbage Pick-Up Complaint,2019-10,3,0.7
Missed Garbage Pick-Up Complaint,2019-10,4,0.9
Missed Garbage Pick-Up Complaint,2019-10,5,1.1
Missed Garbage Pick-Up Complaint,2019-10,6,1.3
Missed Garbage Pick-Up Complaint,2019-10,7,1.6
Missed Garbage Pick-Up Complaint,2019-10,8,1.6
Missed Garbage Pick-Up Complaint,2019-10,9,1.1
Missed Garbage Pick-Up Complaint,2019-10,10,0.3
Missed Garbage Pick-Up Complaint,2019-10,11,1.0
Missed Garbage Pick-Up Complaint,2019-10,12,0.8
Missed Garbage Pick-Up Complaint,2019-10,13,0.1
Missed Garbage Pick-Up Complaint,2019-10,14,3.8
Missed Garbage Pick-Up Complaint,2019-10,15,1.0
Missed Garbage Pick-Up Complaint,2019-10,16,2.9
Missed Garbage Pick-Up Complaint,2019-10,17,0.9
Missed Garbage Pick-Up Complaint,2019-10,18,0.9
Missed Garbage Pick-Up Complaint,2019-10,19,1.2
Missed Garbage Pick-Up Complaint,2019-10,20,1.7
Missed Garbage Pick-Up Complaint,2019-10,21,1.6
Missed Garbage Pick-Up Complaint,2019-10,22,2.2
Missed Garbage Pick-Up Complaint,2019-10,23,5.0
Missed Garbage Pick-Up Complaint,2019-10,24,1.2
Missed Garbage Pick-Up Complaint,2019-10,25,1.8
Missed Garbage Pick-Up Complaint,2019-10,26,4.4
Missed Garbage Pick-Up Complaint,2019-10,27,4.5
Missed Garbage Pick-Up Complaint,2019-10,28,4.8
Missed Garbage Pick-Up Complaint,2019-10,29,11.1
Missed Garbage Pick-Up Complaint,2019-10,30,2.3
Missed Garbage Pick-Up Complaint,2019-10,31,2.4
Missed Garbage Pick-Up Complaint,2019-10,33,0.7
Missed Garbage Pick-Up Complaint,2019-10,35,0.1
Missed Garbage Pick-Up Complaint,2019-10,36,1.9
Missed Garbage Pick-Up Complaint,2019-10,38,1.7
Missed Garbage Pick-Up Complaint,2019-10,39,1.1
Missed Garbage Pick-Up Complaint,2019-10,40,0.8
Missed Garbage Pick-Up Complaint,2019-10,41,1.0
Missed Garbage Pick-Up Complaint,2019-10,42,4.0
Missed Garbage Pick-Up Complaint,2019-10,43,2.9
Missed Garbage Pick-Up Complaint,2019-10,44,5.2
Missed Garbage Pick-Up Complaint,2019-10,45,10.2
Missed Garbage Pick-Up Complaint,2019-10,46,2.1
Missed Garbage Pick-Up Complaint,2019-10,47,10.4
Missed Garbage Pick-Up Complaint,2019-10,48,8.3
Missed Garbage Pick-Up Complaint,2019-10,49,3.5
Missed Garbage Pick-Up Complaint,2019-10,50,9.6
Missed Garbage Pick-Up Complaint,2019-10,51,3.7
Missed Garbage Pick-Up Complaint,2019-10,52,2.3
Missed Garbage Pick-Up Complaint,2019-10,53,1.9
Missed Garbage Pick-Up Complaint,2019-10,55,2.8
Missed Garbage Pick-Up Complaint,2019-10,56,0.8
Missed Garbage Pick-Up Complaint,2019-10,58,1.0
Missed Garbage Pick-Up Complaint,2019-10,59,0.4
Missed Garbage Pick-Up Complaint,2019-10,60,5.0
Missed Garbage Pick-Up Complaint,2019-10,61,1.0
Missed Garbage Pick-Up Complaint,2019-10,63,3.8
Missed Garbage Pick-Up Complaint,2019-10,64,6.2
Missed Garbage Pick-Up Complaint,2019-10,65,0.2
Missed Garbage Pick-Up Complaint,2019-10,66,0.7
Missed Garbage Pick-Up Complaint,2019-10,67,6.8
Missed Garbage Pick-Up Complaint,2019-10,68,8.1
Missed Garbage Pick-Up Complaint,2019-10,69,2.1
Missed Garbage Pick-Up Complaint,2019-10,70,1.5
Missed Garbage Pick-Up Complaint,2019-10,71,5.7
Missed Garbage Pick-Up Complaint,2019-10,72,0.8
Missed Garbage Pick-Up Complaint,2019-10,73,3.9
Missed Garbage Pick-Up Complaint,2019-10,74,1.8
Missed Garbage Pick-Up Complaint,2019-10,75,1.9
Missed Garbage Pick-Up Complaint,2019-10,76,0.9
Missed Garbage Pick-Up Complaint,2019-10,77,1.4
Missed Garbage Pick-Up Complaint,2019-11,1,0.4
Missed Garbage Pick-Up Complaint,2019-11,2,1.5
Missed Garbage Pick-Up Complaint,2019-11,3,1.1
Missed Garbage Pick-Up Complaint,2019-11,5,1.9
Missed Garbage Pick-Up Complaint,2019-11,6,2.2
Missed Garbage Pick-Up Complaint,2019-11,7,2.1
Missed Garbage Pick-Up Complaint,2019-11,8,0.7
Missed Garbage Pick-Up Complaint,2019-11,9,0.6
Missed Garbage Pick-Up Complaint,2019-11,10,2.0
Missed Garbage Pick-Up Complaint,2019-11,11,1.1
Missed Garbage Pick-Up Complaint,2019-11,12,2.6
Missed Garbage Pick-Up Complaint,2019-11,14,1.9
Missed Garbage Pick-Up Complaint,2019-11,15,1.2
Missed Garbage Pick-Up Complaint,2019-11,16,2.8
Missed Garbage Pick-Up Complaint,2019-11,17,1.1
Missed Garbage Pick-Up Complaint,2019-11,18,1.7
Missed Garbage Pick-Up Complaint,2019-11,19,1.7
Missed Garbage Pick-Up Complaint,2019-11,21,2.3
Missed Garbage Pick-Up Complaint,2019-11,22,1.5
Missed Garbage Pick-Up Complaint,2019-11,23,2.9
Missed Garbage Pick-Up Complaint,2019-11,24,1.8
Missed Garbage Pick-Up Complaint,2019-11,25,2.3
Missed Garbage Pick-Up Complaint,2019-11,26,2.0
Missed Garbage Pick-Up Complaint,2019-11,27,3.2
Missed Garbage Pick-Up Complaint,2019-11,28,4.7
Missed Garbage Pick-Up Complaint,2019-11,29,11.7
Missed Garbage Pick-Up Complaint,2019-11,31,6.9
Missed Garbage Pick-Up Complaint,2019-11,32,1.0
Missed Garbage Pick-Up Complaint,2019-11,33,5.0
Missed Garbage Pick-Up Complaint,2019-11,34,6.1
Missed Garbage Pick-Up Complaint,2019-11,35,3.0
Missed Garbage Pick-Up Complaint,2019-11,36,1.0
Missed Garbage Pick-Up Complaint,2019-11,37,6.6
Missed Garbage Pick-Up Complaint,2019-11,38,3.7
Missed Garbage Pick-Up Complaint,2019-11,39,0.8
Missed Garbage Pick-Up Complaint,2019-11,40,3.2
Missed Garbage Pick-Up Complaint,2019-11,41,0.8
Missed Garbage Pick-Up Complaint,2019-11,42,1.1
Missed Garbage Pick-Up Complaint,2019-11,43,2.9
Missed Garbage Pick-Up Complaint,2019-11,44,8.1
Missed Garbage Pick-Up Complaint,2019-11,45,8.9
Missed Garbage Pick-Up Complaint,2019-11,46,8.0
Missed Garbage Pick-Up Complaint,2019-11,48,13.4
Missed Garbage Pick-Up Complaint,2019-11,49,17.3
Missed Garbage Pick-Up Complaint,2019-11,50,28.3
Missed Garbage Pick-Up Complaint,2019-11,51,6.5
Missed Garbage Pick-Up Complaint,2019-11,52,2.4
Missed Garbage Pick-Up Complaint,2019-11,53,11.0
Missed Garbage Pick-Up Complaint,2019-11,55,6.8
Missed Garbage Pick-Up Complaint,2019-11,56,8.9
Missed Garbage Pick-Up Complaint,2019-11,58,4.9
Missed Garbage Pick-Up Complaint,2019-11,59,1.0
Missed Garbage Pick-Up Complaint,2019-11,60,4.3
Missed Garbage Pick-Up Complaint,2019-11,61,10.7
Missed Garbage Pick-Up Complaint,2019-11,63,4.7
Missed Garbage Pick-Up Complaint,2019-11,64,2.8
Missed Garbage Pick-Up Complaint,2019-11,65,3.7
Missed Garbage Pick-Up Complaint,2019-11,66,3.2
Missed Garbage Pick-Up Complaint,2019-11,67,1.0
Missed Garbage Pick-Up Complaint,2019-11,68,3.2
Missed Garbage Pick-Up Complaint,2019-11,69,4.3
Missed Garbage Pick-Up Complaint,2019-11,70,0.2
Missed Garbage Pick-Up Complaint,2019-11,71,3.2
Missed Garbage Pick-Up Complaint,2019-11,72,2.0
Missed Garbage Pick-Up Complaint,2019-11,73,5.5
Missed Garbage Pick-Up Complaint,2019-11,74,2.7
Missed Garbage Pick-Up Complaint,2019-11,75,1.7
Missed Garbage Pick-Up Complaint,2019-11,76,0.8
Missed Garbage Pick-Up Complaint,2019-11,77,0.8
Missed Garbage Pick-Up Complaint,2019-12,1,1.0
Missed Garbage Pick-Up Complaint,2019-12,2,2.8
Missed Garbage Pick-Up Complaint,2019-12,3,4.1
Missed Garbage Pick-Up Complaint,2019-12,4,2.9
Missed Garbage Pick-Up Complaint,2019-12,5,1.2
Missed Garbage Pick-Up Complaint,2019-12,6,2.0
Missed Garbage Pick-Up Complaint,2019-12,7,1.8
Missed Garbage Pick-Up Complaint,2019-12,8,2.7
Missed Garbage Pick-Up Complaint,2019-12,9,0.1
Missed Garbage Pick-Up Complaint,2019-12,10,0.5
Missed Garbage Pick-Up Complaint,2019-12,11,2.8
Missed Garbage Pick-Up Complaint,2019-12,12,0.9
Missed Garbage Pick-Up Complaint,2019-12,13,0.4
Missed Garbage Pick-Up Complaint,2019-12,14,2.1
Missed Garbage Pick-Up Complaint,2019-12,15,1.5
Missed Garbage Pick-Up Complaint,2019-12,16,0.9
Missed Garbage Pick-Up Complaint,2019-12,17,1.0
Missed Garbage Pick-Up Complaint,2019-12,18,2.1
Missed Garbage Pick-Up Complaint,2019-12,19,1.3
Missed Garbage Pick-Up Complaint,2019-12,20,1.6
Missed Garbage Pick-Up Complaint,2019-12,21,1.8
Missed Garbage Pick-Up Complaint,2019-12,22,1.0
Missed Garbage Pick-Up Complaint,2019-12,23,1.7
Missed Garbage Pick-Up Complaint,2019-12,24,1.7
Missed Garbage Pick-Up Complaint,2019-12,25,2.8
Missed Garbage Pick-Up Complaint,2019-12,26,7.1
Missed Garbage Pick-Up Complaint,2019-12,27,2.0
Missed Garbage Pick-Up Complaint,2019-12,28,6.6
Missed Garbage Pick-Up Complaint,2019-12,29,11.5
Missed Garbage Pick-Up Complaint,2019-12,31,1.0
Missed Garbage Pick-Up Complaint,2019-12,32,0.3
Missed Garbage Pick-Up Complaint,2019-12,33,5.8
Missed Garbage Pick-Up Complaint,2019-12,35,3.4
Missed Garbage Pick-Up Complaint,2019-12,37,14.8
Missed Garbage Pick-Up Complaint,2019-12,38,2.5
