SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Abandoned Vehicle Complaint,2019-02,43,6.6
Abandoned Vehicle Complaint,2019-02,44,49.4
Abandoned Vehicle Complaint,2019-02,45,6.9
Abandoned Vehicle Complaint,2019-02,46,47.0
Abandoned Vehicle Complaint,2019-02,47,50.8
Abandoned Vehicle Complaint,2019-02,48,5.0
Abandoned Vehicle Complaint,2019-02,49,11.0
Abandoned Vehicle Complaint,2019-02,50,29.8
Abandoned Vehicle Complaint,2019-02,51,7.9
Abandoned Vehicle Complaint,2019-02,52,57.3
Abandoned Vehicle Complaint,2019-02,53,11.0
Abandoned Vehicle Complaint,2019-02,56,46.3
Abandoned Vehicle Complaint,2019-02,57,14.1
Abandoned Vehicle Complaint,2019-02,58,10.9
Abandoned Vehicle Complaint,2019-02,59,12.9
Abandoned Vehicle Complaint,2019-02,60,19.9
Abandoned Vehicle Complaint,2019-02,61,17.0
Abandoned Vehicle Complaint,2019-02,62,14.9
Abandoned Vehicle Complaint,2019-02,63,14.4
Abandoned Vehicle Complaint,2019-02,64,13.7
Abandoned Vehicle Complaint,2019-02,65,12.4
Abandoned Vehicle Complaint,2019-02,66,16.1
Abandoned Vehicle Complaint,2019-02,67,7.0
Abandoned Vehicle Complaint,2019-02,68,52.5
Abandoned Vehicle Complaint,2019-02,69,32.4
Abandoned Vehicle Complaint,2019-02,70,50.0
Abandoned Vehicle Complaint,2019-02,71,3.6
Abandoned Vehicle Complaint,2019-02,72,50.4
Abandoned Vehicle Complaint,2019-02,73,9.3
Abandoned Vehicle Complaint,2019-02,74,7.0
Abandoned Vehicle Complaint,2019-02,76,7.1
Abandoned Vehicle Complaint,2019-02,77,16.9
Abandoned Vehicle Complaint,2019-03,1,7.9
Abandoned Vehicle Complaint,2019-03,2,5.8
Abandoned Vehicle Complaint,2019-03,3,10.9
Abandoned Vehicle Complaint,2019-03,4,4.9
Abandoned Vehicle Complaint,2019-03,5,16.7
Abandoned Vehicle Complaint,2019-03,6,16.7
Abandoned Vehicle Complaint,2019-03,7,18.0
Abandoned Vehicle Complaint,2019-03,8,10.7
Abandoned Vehicle Complaint,2019-03,9,6.9
Abandoned Vehicle Complaint,2019-03,10,4.9
Abandoned Vehicle Complaint,2019-03,11,7.3
Abandoned Vehicle Complaint,2019-03,12,3.7
Abandoned Vehicle Complaint,2019-03,13,8.8
