YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_15,total_volume_area_16,total_volume_area_17,total_volume_area_18,total_volume_area_19,total_volume_area_20
2020-05,15,69,37,28,16,61,34,12,44,13,0,2,1,24,12,190,114,27,4,14,12,2,16,2,1,66,33,24,3,277,40,16,69,27,123,0,8,17,12,8,114,9,47,38,23,33,67,105,7,5,12,63,1,104,11,91,,,,,,
2020-06,15,62,38,27,1,57,30,13,20,20,1,5,0,17,11,169,175,14,0,16,10,0,7,4,4,80,15,16,4,223,40,18,28,11,51,3,6,6,10,11,168,8,30,122,112,34,90,196,9,9,4,26,0,7,12,76,,,,,,
2020-07,15,89,32,33,3,62,46,8,32,36,1,1,0,18,11,187,162,13,5,39,11,3,11,3,5,54,31,8,11,333,37,15,24,18,100,2,9,5,14,4,181,9,34,80,46,22,71,251,6,8,16,12,4,8,12,69,,,,,,
2020-08,15,135,38,21,1,49,37,2,31,23,0,2,0,27,15,150,92,10,9,13,12,10,10,7,3,30,17,17,8,297,48,16,15,35,27,1,2,6,21,18,468,40,30,679,763,29,128,182,12,13,10,9,1,2,9,66,,,,,,
2020-09,15,109,28,16,0,52,22,8,16,34,0,4,4,30,10,130,150,17,6,19,12,15,15,2,5,52,16,16,4,219,67,10,18,19,40,0,0,1,10,5,344,6,45,91,83,25,60,132,6,3,33,6,7,6,4,36,,,,,,
2020-10,15,116,22,14,1,40,16,7,21,19,2,5,5,31,14,149,103,7,9,12,12,6,12,1,2,22,15,9,2,180,20,4,10,9,34,0,2,5,8,7,245,2,23,51,45,9,33,101,4,7,9,15,0,8,1,40,,,,,,
2020-11,15,74,6,4,1,41,22,7,40,24,0,1,1,13,10,102,93,19,5,14,8,8,11,3,1,25,14,5,0,166,15,11,10,6,26,3,4,9,7,21,110,11,20,42,26,23,54,46,4,5,7,3,1,4,0,127,,,,,,
2020-12,15,72,12,13,1,43,25,3,22,26,0,3,2,10,6,128,219,9,2,17,11,18,11,1,4,40,12,1,7,122,24,10,19,12,32,0,1,0,1,6,85,7,32,8,9,11,13,12,1,4,5,8,1,8,0,18,,,,,,
2021-01,15,94,2,10,1,53,21,6,8,18,0,2,7,22,6,100,176,1,6,15,9,13,11,0,8,100,27,3,2,124,13,6,5,18,36,0,2,7,7,2,79,2,54,3,6,0,8,9,3,9,13,3,1,2,0,2,,,,,,
2021-02,15,93,9,0,1,37,36,10,13,31,3,1,1,4,9,75,139,3,2,95,2,16,8,4,4,101,123,3,0,52,29,6,4,15,25,1,2,4,4,1,73,4,26,3,4,3,8,13,2,1,4,4,0,9,0,1,,,,,,
2021-03,15,116,14,40,2,76,35,3,9,42,2,1,0,20,18,133,170,16,1,30,9,9,11,0,2,147,78,3,5,200,36,13,14,27,47,3,5,4,11,6,87,8,60,26,25,17,38,44,2,2,38,11,7,15,0,7,,,,,,
2021-04,15,74,14,21,0,71,33,4,14,15,4,1,1,16,13,141,138,14,5,15,1,0,16,4,3,97,28,7,3,220,28,19,6,27,49,1,2,10,6,4,107,11,23,25,10,39,46,62,0,7,16,5,2,1,0,28,,,,,,
2021-05,15,86,8,25,2,47,32,6,8,21,0,1,2,24,17,145,162,12,4,14,10,4,11,1,0,53,14,13,4,253,67,11,12,24,71,0,2,6,10,4,88,5,29,47,38,34,66,90,3,6,14,6,1,4,2,70,,,,,,
2021-06,15,105,8,15,6,57,33,7,3,19,2,0,0,24,16,150,111,35,15,21,17,2,6,24,2,56,20,13,3,347,63,19,36,15,50,5,7,13,10,4,100,11,53,99,81,21,78,149,9,2,13,41,2,29,12,53,,,,,,
2021-07,15,82,7,18,3,49,52,11,2,25,1,2,0,26,18,140,134,17,5,22,11,2,22,1,8,128,18,19,0,375,42,27,29,34,40,1,0,5,8,6,78,7,43,122,116,39,70,131,6,5,184,13,1,8,8,66,,,,,,
2021-08,15,77,6,26,3,47,42,9,8,40,3,0,1,24,15,166,101,14,4,16,10,7,13,3,2,61,6,9,3,297,20,19,16,28,84,0,5,7,8,11,81,4,18,143,85,48,71,145,12,3,79,18,0,4,14,56,,,,,,
2021-09,15,76,5,37,2,42,35,7,17,32,1,3,0,34,10,129,153,28,10,14,14,1,11,17,5,59,13,7,3,239,22,8,11,39,38,1,7,5,6,4,96,10,45,38,27,36,43,115,5,9,24,6,2,1,3,39,,,,,,
2021-10,15,70,12,17,12,37,25,8,7,15,5,2,1,27,8,109,127,10,4,11,13,3,15,6,3,77,8,10,4,214,23,7,19,16,124,4,6,8,13,4,112,14,27,61,44,11,46,60,2,8,16,32,0,9,0,36,,,,,,
2021-11,15,77,16,29,2,48,24,11,10,26,1,3,2,5,16,87,138,5,3,16,3,8,15,2,3,59,19,12,5,116,27,12,11,13,38,1,3,4,12,15,63,8,62,25,12,4,16,48,1,7,11,3,0,2,0,70,,,,,,
2021-12,15,92,13,11,1,43,30,3,8,18,3,1,2,16,13,112,116,10,5,23,9,1,17,5,11,59,12,4,4,98,23,9,8,10,27,1,3,5,8,5,117,12,23,46,42,8,31,16,3,2,10,11,0,2,0,58,,,,,,
2022-01,15,144,11,3,0,51,26,7,16,52,3,2,1,10,6,89,143,3,6,20,8,25,12,1,3,76,21,7,3,64,16,6,3,18,30,2,2,4,12,0,34,5,36,11,10,5,7,1,2,6,10,10,2,1,0,3,,,,,,
2022-02,15,162,7,10,0,36,19,10,7,59,1,1,0,7,10,64,84,8,2,11,14,7,14,8,3,138,9,4,1,45,27,12,18,20,32,1,7,5,12,2,93,8,31,4,10,11,13,4,10,2,9,18,1,18,0,0,,,,,,
2022-03,15,127,9,50,2,51,22,8,1,18,2,0,0,21,19,91,158,18,5,49,9,1,7,5,5,274,11,9,3,97,24,25,19,32,56,0,0,3,6,9,127,6,64,25,23,14,40,0,10,9,16,38,1,11,0,14,,,,,,
2022-04,15,103,26,68,1,50,33,8,0,9,1,3,1,18,12,90,132,18,4,21,9,1,15,2,3,234,7,10,3,134,19,20,31,38,11,0,0,3,7,4,63,5,25,30,22,72,71,41,9,6,10,23,0,7,0,26,,,,,,
2022-05,15,95,13,63,9,54,30,3,4,15,0,1,1,26,20,115,95,18,3,16,16,2,27,4,0,169,4,12,3,174,43,26,35,28,15,0,0,9,21,4,84,4,72,37,30,38,73,86,8,7,7,33,0,10,7,101,,,,,,
2022-06,15,108,14,32,2,52,36,3,7,23,5,1,1,32,13,129,112,32,8,22,17,9,13,11,1,162,15,28,4,209,30,36,14,21,21,0,6,2,14,10,141,15,47,113,79,63,87,146,9,14,23,16,0,1,13,75,,,,,,
2022-07,15,110,15,30,2,54,43,9,4,48,2,3,1,26,13,110,89,22,11,17,15,27,15,5,6,97,22,13,2,226,44,12,15,20,13,1,4,5,10,6,130,10,37,82,67,48,70,147,12,3,26,22,2,4,4,70,,,,,,
2022-08,15,95,9,27,2,54,43,15,6,27,5,0,2,28,18,117,121,9,10,21,12,5,13,1,1,60,14,11,3,210,31,20,15,25,25,3,10,8,7,10,112,9,21,77,67,28,56,103,3,4,26,20,5,0,4,63,,,,,,
2022-09,15,92,3,28,7,52,38,20,3,28,0,0,2,23,21,118,113,14,5,27,7,5,20,2,4,41,9,6,5,195,22,22,81,26,18,0,4,2,8,7,114,9,25,61,19,80,58,82,0,9,39,46,7,780,5,53,,,,,,
2022-10,15,100,5,25,1,47,31,10,1,17,1,2,0,35,15,117,118,12,3,16,14,3,25,2,1,27,13,12,2,157,9,22,25,18,32,4,4,9,11,4,56,7,34,46,31,32,33,92,2,6,18,6,0,11,0,67,,,,,,
2022-11,15,98,6,12,0,38,23,9,1,17,2,2,0,19,17,76,97,22,6,21,11,7,14,2,6,25,8,5,3,113,11,15,32,15,17,2,2,4,11,11,90,13,36,96,76,21,47,94,8,2,19,4,0,2,0,107,,,,,,
2022-12,15,117,12,5,1,43,28,12,0,45,0,1,0,14,10,61,51,8,7,27,8,9,5,9,8,31,11,2,1,67,9,8,23,9,16,0,5,5,4,6,61,20,72,16,9,18,14,8,2,4,15,29,1,11,0,24,,,,,,
2023-01,15,107,10,30,2,57,21,11,2,19,1,2,6,14,15,91,99,6,5,14,7,1,5,1,1,158,12,3,2,92,20,18,20,17,19,1,0,4,4,6,64,13,78,11,9,7,27,3,6,3,12,8,2,11,0,9,,,,,,
2023-02,15,114,7,22,2,63,28,3,4,26,1,4,9,17,11,105,93,6,3,12,12,71,15,2,5,180,5,13,1,63,14,11,49,19,10,0,2,9,15,4,104,9,64,10,10,13,27,7,2,9,17,37,0,19,0,4,,,,,,
2023-03,15,112,19,50,1,80,27,5,4,25,1,3,8,14,16,91,158,16,5,11,12,0,8,0,10,169,6,9,4,145,23,15,26,13,24,0,3,6,13,4,51,9,25,16,5,21,21,9,3,2,27,21,1,3,0,6,,,,,,
2023-04,15,77,12,43,4,79,21,4,0,14,2,0,1,17,12,91,126,11,8,6,19,2,9,0,0,151,7,7,4,118,15,15,24,19,23,1,3,2,7,12,50,18,36,36,14,55,52,50,8,2,18,8,1,4,0,51,,,,,,
2023-05,15,99,12,41,0,84,26,15,3,9,1,2,1,17,21,119,105,20,10,13,8,1,9,3,6,151,6,13,3,184,27,14,15,23,22,1,4,5,7,5,68,8,42,31,16,63,62,117,5,8,22,6,0,2,11,102,,,,,,
2023-06,15,135,5,38,0,47,32,8,5,8,2,0,0,32,16,121,69,15,4,28,17,3,14,1,4,105,12,12,4,236,25,16,31,27,23,3,17,9,7,6,36,12,25,62,40,148,102,157,3,6,42,24,0,4,9,61,,,,,,
