YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_15,total_volume_area_16,total_volume_area_17,total_volume_area_18,total_volume_area_19,total_volume_area_20
2025-03,15,141,5,89,2,61,19,7,3,29,0,4,0,20,13,98,137,21,11,15,8,13,7,2,5,175,6,9,2,94,14,14,17,22,81,5,6,6,5,9,52,10,71,20,53,18,49,76,9,1,30,13,1,8,0,19,,,,,,
2025-04,15,120,12,37,3,74,23,6,5,16,1,2,2,27,14,137,107,16,4,16,9,1,7,0,3,247,8,9,3,122,14,20,22,24,33,2,7,6,13,7,69,5,94,24,35,30,44,167,11,5,29,25,1,3,0,60,,,,,,
2025-05,15,139,8,35,5,62,25,5,6,11,0,2,1,26,18,127,119,12,1,20,21,4,11,0,5,197,6,9,4,181,37,11,13,30,46,1,5,3,12,8,121,18,179,401,479,67,111,38,14,1,19,19,0,3,12,116,,,,,,
2025-06,15,158,12,39,2,82,22,7,7,18,1,5,0,29,15,129,135,25,1,39,18,5,6,9,4,145,17,11,0,194,35,10,7,14,53,1,1,2,14,6,56,12,31,185,122,50,100,45,3,4,46,27,0,1,13,107,,,,,,
2025-07,15,171,11,59,1,89,29,11,7,33,6,3,1,22,20,159,182,23,7,32,15,17,7,4,4,159,14,24,7,298,48,22,18,33,61,3,2,2,7,10,88,13,50,166,115,25,97,61,5,0,80,27,3,13,13,104,,,,,,
2025-08,15,184,9,28,5,100,36,15,7,18,0,3,0,34,33,143,168,10,8,14,26,0,4,2,3,94,13,25,2,216,50,13,36,23,63,1,2,7,19,8,52,11,50,134,97,46,63,86,3,4,75,33,0,21,15,148,,,,,,
2025-09,15,151,18,26,1,93,32,3,2,14,2,2,0,28,16,103,133,23,4,12,22,1,5,11,3,67,9,15,4,202,34,11,17,16,31,0,0,3,13,2,37,9,67,65,22,28,60,28,7,12,93,7,4,2,8,84,,,,,,
2025-10,15,158,9,13,0,69,22,7,5,20,3,1,3,24,15,127,147,23,0,7,12,1,6,1,0,47,5,6,1,200,24,3,6,14,24,0,1,2,8,9,53,7,60,33,40,35,60,37,4,4,40,11,2,2,3,67,,,,,,
2025-11,15,102,4,13,1,61,13,4,2,14,0,3,3,17,16,92,161,15,4,17,8,4,10,0,4,69,7,2,1,141,17,7,8,18,25,0,1,2,12,20,51,11,37,23,16,39,21,115,1,4,37,5,3,0,0,136,,,,,,
2025-12,15,132,4,4,0,68,19,3,2,28,1,3,0,13,12,58,102,4,0,15,4,5,7,2,4,54,13,5,3,60,25,3,3,5,4,1,6,7,9,1,50,1,42,10,22,7,7,163,3,4,33,11,1,3,0,13,,,,,,
2019-01,16,13,24,21,1,16,16,2,1,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,2,38,0,0,4,0,0,3,7,75,8,0,0,0,5,0,25,0,11,0,0,8,4,21,1,0,95,1,3,0,0,0,,414.0,,,,
2019-02,16,27,28,12,1,28,25,4,0,2,0,0,0,0,3,43,3,7,4,0,3,1,0,0,0,310,10,0,1,3,1,11,10,6,18,0,1,0,1,0,88,0,4,2,0,6,9,20,3,0,122,0,2,1,0,1,,821.0,,,,
2019-03,16,89,57,53,2,33,33,4,2,37,1,5,0,8,10,94,86,5,5,7,5,9,8,0,3,532,29,4,11,101,11,15,36,21,33,3,5,9,1,11,92,5,23,15,2,15,23,51,5,6,155,19,4,6,0,12,,1811.0,,,,
2019-04,16,61,53,41,2,35,24,1,2,23,0,3,1,6,7,65,125,7,5,15,20,5,11,0,1,229,17,3,10,135,9,17,29,15,49,1,0,8,16,7,96,4,19,38,18,26,21,61,1,1,81,25,3,8,0,39,,1499.0,,,,
2019-05,16,58,53,76,4,38,57,7,4,14,4,1,0,15,10,104,126,9,5,23,15,17,21,0,1,235,44,7,10,107,23,14,43,10,70,0,3,4,5,1,108,10,19,46,24,37,44,52,5,10,20,47,0,17,7,61,,1745.0,,,,
2019-06,16,52,41,40,4,32,44,4,7,21,3,4,2,28,22,87,262,16,4,15,6,3,21,2,3,236,29,12,15,148,28,31,54,11,43,2,3,3,15,8,100,12,17,68,56,18,62,171,5,5,34,40,0,4,21,82,,2056.0,,,,
2019-07,16,68,49,49,0,30,36,4,2,20,2,2,1,17,26,91,241,11,10,11,10,19,27,6,4,287,22,24,11,198,22,31,29,10,40,4,11,6,7,6,118,3,46,72,38,18,41,108,8,3,198,16,1,5,12,55,,2186.0,,,,
2019-08,16,66,30,30,4,27,31,7,1,15,4,7,9,28,16,88,287,10,5,13,14,3,17,8,2,219,27,16,0,217,28,11,14,26,63,1,1,5,11,7,133,4,23,41,35,20,25,137,7,9,245,12,0,4,11,34,,2108.0,,,,
2019-09,16,82,40,44,4,23,32,5,1,18,2,1,2,32,25,112,278,21,1,12,11,6,11,4,4,200,20,11,4,171,21,12,10,11,74,5,1,5,8,8,177,8,28,49,39,155,37,141,2,9,141,9,10,3,9,37,,2186.0,,,,
2019-10,16,46,55,45,4,28,33,6,0,20,4,3,13,26,15,78,256,18,4,3,13,13,15,4,4,139,44,8,3,139,14,9,20,10,58,0,1,6,7,7,175,13,70,41,29,15,35,67,8,0,64,34,1,25,12,46,,1806.0,,,,
2019-11,16,67,47,28,1,26,37,4,0,17,4,2,6,15,26,71,255,11,1,10,13,17,5,2,2,103,58,10,0,122,8,7,11,5,87,1,5,6,9,12,146,3,41,47,51,4,24,37,3,5,57,10,3,2,0,158,,1702.0,,,,
2019-12,16,60,45,20,0,46,17,3,3,54,1,5,3,9,22,74,262,10,5,7,9,23,18,4,5,187,62,5,2,109,10,8,15,4,114,2,8,16,10,10,118,6,26,20,5,16,26,104,4,2,29,10,1,2,0,43,,1679.0,,,,
2020-01,16,137,50,28,1,33,40,6,2,16,3,4,6,16,7,57,393,22,6,10,7,23,16,5,5,231,75,3,5,91,7,9,17,8,48,2,0,12,6,9,93,10,50,9,6,41,16,42,2,4,32,13,1,4,0,4,,1743.0,,,,
2020-02,16,82,53,27,0,20,28,6,0,12,2,1,4,11,22,76,250,11,5,1,4,3,12,2,3,113,23,7,2,54,15,4,8,10,102,2,12,11,11,2,86,10,22,4,6,27,13,40,4,3,22,4,1,2,0,3,,1258.0,,,,
2020-03,16,48,43,17,3,24,32,6,20,16,1,5,1,15,17,51,312,24,1,6,11,6,17,0,2,107,19,7,1,82,23,7,16,1,65,0,7,8,11,6,78,13,18,11,12,11,12,33,1,2,13,17,3,15,0,17,,1294.0,,,,
2020-04,16,50,22,37,1,41,18,6,69,9,0,3,1,6,20,77,225,8,1,8,8,0,19,1,4,124,15,10,0,84,19,21,28,8,43,1,6,10,6,2,62,5,39,25,5,10,10,34,4,0,11,21,1,12,0,66,,1316.0,,,,
2020-05,16,71,43,44,7,50,19,18,53,13,1,2,0,22,18,133,357,6,1,11,9,3,40,1,1,96,75,26,2,140,26,10,40,14,87,3,12,6,18,12,59,6,32,41,17,24,45,70,4,4,15,64,11,20,9,80,,1991.0,,,,
2020-06,16,72,24,29,5,46,28,4,17,24,1,3,2,28,17,126,297,11,0,16,13,1,27,3,5,47,43,15,9,209,25,14,21,14,96,1,8,10,7,7,106,6,20,81,82,20,53,138,4,1,13,37,3,3,10,82,,1984.0,,,,
2020-07,16,65,22,36,3,59,38,7,27,56,4,0,1,43,29,113,285,19,2,37,14,2,21,3,3,83,44,25,9,237,38,15,19,10,133,2,10,9,11,7,182,7,25,50,31,76,40,159,1,5,16,27,0,2,7,55,,2224.0,,,,
2020-08,16,94,22,22,0,52,29,4,25,44,1,2,0,23,25,125,249,16,4,12,6,4,10,3,4,37,15,19,10,188,23,5,11,11,36,1,6,11,11,9,336,57,50,724,725,33,105,197,5,4,9,13,1,1,6,63,,3498.0,,,,
2020-09,16,84,34,24,1,37,52,4,10,22,0,2,0,34,16,84,390,11,5,11,11,6,16,2,4,28,27,11,3,157,37,16,18,9,56,0,0,5,7,8,202,10,38,102,82,24,45,103,2,4,34,11,1,4,3,54,,1961.0,,,,
2020-10,16,66,23,25,1,35,32,6,17,16,1,1,0,22,12,58,172,7,3,11,9,6,10,0,3,48,19,13,8,116,13,7,8,6,58,2,8,8,4,4,215,7,24,33,43,16,30,63,1,5,4,11,0,5,0,48,,1363.0,,,,
2020-11,16,80,21,23,1,43,13,5,31,19,0,1,14,15,14,69,244,8,3,15,8,2,6,0,1,55,30,12,5,111,8,2,9,3,58,0,5,4,24,10,77,2,26,38,36,18,41,38,3,9,6,10,1,1,0,167,,1445.0,,,,
2020-12,16,75,25,14,0,45,14,7,18,18,0,4,2,4,6,78,652,8,2,20,10,3,10,1,1,57,32,2,1,90,21,2,6,6,49,2,7,6,4,2,72,7,28,22,13,11,10,28,0,3,11,11,5,6,0,34,,1565.0,,,,
2021-01,16,91,11,24,0,52,13,9,24,19,1,1,1,11,6,103,252,3,2,11,4,3,17,0,2,119,24,3,5,91,12,3,4,5,57,2,3,9,8,3,74,7,43,14,7,5,2,11,4,1,12,3,0,1,0,5,,1197.0,,,,
2021-02,16,68,13,3,1,31,53,12,9,8,0,3,2,5,10,36,231,2,5,62,3,13,14,0,2,122,77,5,3,39,22,6,5,2,36,3,2,6,7,3,54,6,25,5,4,3,6,11,2,1,7,3,1,8,0,0,,1060.0,,,,
2021-03,16,103,21,30,1,51,23,1,14,14,1,6,0,9,19,81,373,7,3,15,15,4,10,0,1,153,52,9,2,120,34,10,6,7,51,5,6,8,4,12,135,8,30,16,12,11,9,48,7,3,40,8,4,2,0,32,,1646.0,,,,
2021-04,16,90,8,26,2,59,35,3,9,21,4,3,1,13,7,70,484,7,6,9,17,4,17,0,0,144,25,12,1,172,21,15,12,16,32,2,5,8,11,5,28,9,33,27,17,34,49,93,4,3,19,4,0,0,0,40,,1736.0,,,,
2021-05,16,71,3,19,1,30,28,5,6,14,1,2,2,12,15,91,154,15,6,12,5,10,29,3,6,47,16,10,4,197,31,11,11,7,27,1,3,4,8,9,36,5,21,49,33,19,35,111,2,3,11,10,1,4,7,85,,1358.0,,,,
2021-06,16,75,6,13,9,42,31,6,5,38,3,1,3,30,14,93,337,5,6,9,12,5,35,2,3,124,13,10,7,299,26,11,57,17,51,1,3,8,13,5,58,8,26,70,77,27,52,125,1,2,5,43,1,15,12,69,,2019.0,,,,
2021-07,16,83,8,28,1,52,39,7,6,24,2,0,2,19,16,105,324,17,1,13,8,0,25,2,6,145,16,15,1,270,28,20,12,41,32,0,1,7,9,11,53,1,11,73,88,27,53,102,4,7,143,23,1,1,11,66,,2060.0,,,,
2021-08,16,57,16,32,3,32,31,5,6,58,1,4,2,30,33,72,394,11,7,7,9,4,19,13,3,89,13,14,2,198,31,7,12,10,64,2,1,6,6,17,47,12,24,93,56,38,55,114,10,4,62,16,1,4,10,53,,1920.0,,,,
2021-09,16,61,9,17,0,44,22,4,11,17,1,2,1,20,13,92,226,9,4,11,10,5,31,15,7,63,14,4,3,221,26,12,12,19,41,0,3,7,5,10,54,6,15,40,36,13,48,87,6,5,23,9,2,0,6,65,,1487.0,,,,
2021-10,16,56,5,21,3,37,29,2,7,12,1,2,1,27,19,76,179,10,0,6,9,4,12,1,2,49,6,6,1,179,36,7,33,9,73,1,2,6,7,7,64,7,66,51,52,11,53,80,7,2,11,70,0,6,0,58,,1481.0,,,,
2021-11,16,72,5,11,0,33,24,3,4,11,1,1,3,18,6,59,204,9,1,6,7,5,1,5,4,32,12,9,1,120,12,0,8,5,43,0,3,7,13,14,59,13,36,31,13,8,23,32,4,8,9,6,1,1,0,122,,1138.0,,,,
2021-12,16,100,16,7,1,22,11,7,8,29,1,1,3,16,12,47,107,5,4,18,4,4,4,7,3,39,13,3,3,100,15,1,13,8,32,1,5,8,3,5,82,5,25,30,29,4,18,16,1,3,12,10,2,1,0,52,,976.0,,,,
2022-01,16,85,6,5,2,32,32,4,13,34,2,1,7,4,10,47,199,8,1,11,10,4,5,0,7,70,17,6,3,51,14,2,4,4,18,1,2,6,7,1,51,3,26,5,3,8,7,1,3,2,11,10,2,3,0,7,,877.0,,,,
2022-02,16,94,15,8,0,28,23,6,6,10,2,1,1,9,17,43,123,6,0,33,9,5,1,1,9,231,20,1,2,46,12,6,6,10,15,0,3,5,5,1,131,9,41,4,4,11,13,1,9,2,13,17,0,4,0,0,,1072.0,,,,
2022-03,16,112,17,55,3,34,19,7,4,19,6,3,0,14,21,74,232,14,1,7,10,8,11,0,1,349,11,8,3,130,26,10,13,10,38,0,6,10,3,8,105,5,46,11,10,11,22,1,15,6,11,33,0,7,0,22,,1602.0,,,,
2022-04,16,109,5,52,0,33,16,4,5,15,1,2,0,8,11,77,209,15,1,10,10,0,10,5,2,360,11,12,1,111,18,13,40,10,21,0,2,7,11,10,63,9,16,28,21,39,35,31,6,2,17,38,0,2,0,32,,1566.0,,,,
2022-05,16,88,10,43,4,32,27,7,2,9,0,2,5,24,19,86,198,13,3,8,13,0,10,1,3,173,6,8,1,131,35,11,19,28,33,2,1,5,3,6,79,5,38,39,30,32,35,69,11,5,11,38,1,5,11,83,,1561.0,,,,
2022-06,16,106,13,31,0,20,27,2,4,20,2,5,0,25,19,79,188,17,2,10,2,2,10,4,1,163,16,32,2,149,31,9,13,17,25,1,3,2,11,2,107,4,31,100,72,49,37,108,6,8,13,17,1,2,12,88,,1720.0,,,,
2022-07,16,80,19,19,2,25,28,4,4,11,8,2,1,26,32,64,137,12,5,16,7,1,13,1,1,159,18,6,1,158,24,11,5,19,10,0,1,0,7,3,91,5,63,73,51,30,42,71,4,2,15,4,0,6,4,66,,1467.0,,,,
2022-08,16,94,16,13,3,44,24,9,3,15,2,0,0,34,17,59,211,6,1,11,14,4,16,0,4,75,16,8,4,224,38,19,9,17,32,3,1,10,5,6,80,3,43,122,95,24,47,93,9,4,14,12,2,2,17,74,,1708.0,,,,
2022-09,16,85,13,23,3,32,16,9,3,19,0,1,1,45,17,75,203,11,4,5,9,4,31,4,1,43,11,17,3,153,15,7,29,16,25,1,1,9,16,7,119,4,41,44,32,24,42,70,2,5,54,33,0,129,4,61,,1631.0,,,,
2022-10,16,57,12,18,2,29,14,3,2,17,1,1,2,34,16,66,255,3,1,12,7,2,15,4,3,30,6,11,0,133,23,10,14,13,37,2,0,0,3,10,83,3,18,34,22,33,28,42,5,5,16,11,1,1,2,80,,1252.0,,,,
2022-11,16,69,11,14,1,22,19,5,3,17,1,2,9,17,14,62,233,1,2,8,9,1,13,2,2,32,8,3,4,99,11,1,6,4,10,0,5,4,3,23,60,5,23,83,45,13,28,34,3,5,25,6,0,1,0,144,,1225.0,,,,
2022-12,16,79,5,9,2,24,10,5,2,24,0,0,4,17,13,39,187,4,5,15,7,7,6,2,3,36,6,3,1,58,19,1,12,4,18,2,3,3,8,8,35,4,46,9,8,16,9,13,2,2,9,21,1,6,0,39,,871.0,,,,
2023-01,16,86,6,20,0,24,19,6,7,16,3,4,5,7,16,69,178,10,1,12,8,11,7,0,5,137,25,10,0,73,30,11,11,7,13,0,5,2,4,13,76,2,27,13,12,16,15,1,3,1,12,10,0,3,0,15,,1067.0,,,,
2023-02,16,73,4,19,0,21,22,6,3,5,3,2,0,7,15,45,148,3,3,8,9,4,12,1,4,146,11,5,1,63,17,3,22,3,17,0,4,10,8,5,91,1,76,18,6,30,12,18,0,4,23,59,2,15,0,12,,1099.0,,,,
2023-03,16,99,13,42,1,24,29,4,2,11,1,1,1,8,16,68,222,6,2,12,15,0,16,2,2,89,5,12,4,111,14,7,11,15,37,0,2,16,7,14,43,2,32,15,7,38,26,12,2,8,14,5,0,3,0,4,,1152.0,,,,
2023-04,16,63,18,24,1,28,21,8,4,8,3,5,1,13,11,45,135,2,0,14,7,3,12,0,3,78,7,8,1,110,17,2,9,13,25,0,0,7,8,9,50,3,31,18,17,58,26,50,3,1,13,10,0,1,0,61,,1065.0,,,,
2023-05,16,79,13,13,1,27,29,16,5,7,5,4,0,23,20,61,153,5,1,9,12,2,9,2,2,85,6,14,2,128,31,6,6,23,23,1,0,10,5,11,62,7,31,34,16,28,46,68,1,6,18,4,2,3,7,128,,1310.0,,,,
2023-06,16,96,16,18,1,37,29,13,6,15,3,2,2,25,23,69,136,12,2,7,18,0,13,3,1,99,10,14,1,175,40,12,12,20,29,2,5,12,4,7,77,8,37,45,46,49,49,80,6,7,30,10,0,6,11,86,,1536.0,,,,
2023-07,16,92,0,22,8,32,29,9,2,14,4,0,2,18,27,79,117,7,2,13,11,1,6,0,9,117,15,13,1,212,53,9,37,19,30,0,5,4,12,9,43,13,22,138,95,48,62,16,4,5,26,64,0,141,10,93,,1820.0,,,,
2023-08,16,115,13,26,0,26,38,13,3,16,3,0,1,41,16,102,235,18,3,7,14,9,14,2,2,111,7,13,5,199,41,12,20,23,31,3,3,11,4,5,58,5,31,55,42,28,47,25,5,5,14,20,1,9,15,67,,1632.0,,,,
2023-09,16,76,3,25,1,33,30,6,11,22,0,1,3,20,12,67,166,5,9,14,10,6,13,13,2,73,4,13,6,152,28,5,11,13,20,0,3,5,5,6,48,4,31,29,35,40,29,73,3,3,29,21,4,6,13,65,,1325.0,,,,
2023-10,16,102,9,22,1,17,28,6,6,5,0,2,3,17,14,79,195,14,2,8,11,2,10,2,4,32,8,11,4,154,16,7,15,20,33,0,4,2,6,10,58,8,20,48,29,9,42,133,1,8,19,4,0,3,4,94,,1361.0,,,,
2023-11,16,100,6,20,1,26,12,3,3,5,0,2,5,26,11,74,180,12,1,29,6,1,13,3,6,22,15,9,2,108,10,0,10,23,31,1,6,5,12,11,32,5,29,12,6,18,17,39,1,10,23,1,0,3,0,199,,1205.0,,,,
2023-12,16,81,8,13,0,18,35,4,5,10,1,0,14,18,10,49,111,5,0,12,1,1,6,0,6,31,7,6,3,89,16,3,14,5,36,1,2,9,4,14,21,1,8,3,15,3,11,109,1,5,13,4,0,1,0,47,,890.0,,,,
2024-01,16,134,11,16,2,20,17,14,5,29,0,3,4,12,11,29,138,8,2,18,2,17,9,2,2,95,14,7,2,80,20,6,7,13,32,2,2,11,4,3,39,6,62,19,15,3,15,148,1,3,20,27,0,9,0,6,,1176.0,,,,
2024-02,16,120,10,50,2,25,21,4,3,12,3,2,1,23,6,80,199,4,2,5,8,3,10,0,5,148,3,6,5,72,11,8,18,6,43,0,0,2,11,13,64,15,37,15,15,24,21,231,3,7,13,5,0,5,0,29,,1428.0,,,,
2024-03,16,100,12,20,1,36,18,5,6,12,1,0,3,11,9,60,199,10,3,9,11,0,6,2,9,106,3,7,3,60,18,10,25,7,22,2,3,4,8,5,44,7,31,25,14,8,26,155,9,1,55,23,1,15,0,31,,1271.0,,,,
2024-04,16,102,7,38,1,36,22,3,5,14,1,3,0,19,16,64,273,14,3,9,12,0,13,0,3,120,6,31,2,92,23,14,27,15,22,0,0,5,6,16,83,2,25,57,34,47,42,251,3,1,40,43,1,8,2,79,,1755.0,,,,
2024-05,16,110,11,28,1,42,27,8,4,7,0,3,4,35,12,100,165,6,1,10,16,1,13,2,0,111,3,20,0,114,35,11,28,11,38,3,1,7,9,6,64,5,45,160,136,57,77,152,9,4,8,21,0,3,20,151,,1915.0,,,,
2024-06,16,115,8,34,0,36,29,10,4,8,1,2,1,14,23,88,142,10,2,14,9,2,14,1,9,140,7,6,5,119,21,6,16,12,39,0,8,5,10,6,75,9,32,159,132,42,83,105,5,3,14,17,0,2,9,135,,1798.0,,,,
2024-07,16,122,6,26,1,40,36,9,7,10,4,3,2,36,22,113,248,10,4,21,14,1,8,2,8,129,11,11,2,162,28,13,6,12,26,1,9,6,6,7,67,5,54,312,167,28,75,37,4,5,18,6,0,8,6,87,,2061.0,,,,
2024-08,16,95,1,21,1,44,44,13,7,21,4,0,0,23,15,72,291,9,2,15,11,4,13,0,6,117,14,15,1,145,26,10,4,21,30,4,2,4,6,9,16,12,28,85,67,57,56,35,8,13,16,6,0,0,13,79,,1611.0,,,,
2024-09,16,79,11,17,0,26,27,4,6,15,7,1,2,30,15,89,138,14,3,8,9,6,9,0,2,58,7,11,5,162,27,12,12,21,30,3,0,5,9,11,55,9,45,45,65,35,38,16,2,1,14,7,0,13,10,86,,1332.0,,,,
2024-10,16,50,3,26,2,30,23,8,3,17,3,3,4,36,15,77,164,13,2,18,14,11,12,1,7,53,7,17,3,118,10,4,17,54,18,0,2,3,6,3,47,10,50,40,59,47,51,65,2,3,31,12,0,6,0,98,,1378.0,,,,
2024-11,16,56,7,21,0,25,17,5,7,11,4,0,5,20,15,70,247,11,1,8,7,2,13,2,4,55,6,5,2,72,7,5,10,4,17,0,0,4,5,12,44,4,53,17,16,17,11,115,11,4,23,18,0,6,0,178,,1279.0,,,,
2024-12,16,70,4,9,0,24,15,9,6,8,1,2,5,9,21,72,185,12,3,8,10,3,2,0,4,46,7,7,9,49,12,7,8,2,12,1,4,8,7,9,46,8,25,15,16,4,7,111,3,5,26,6,1,2,0,72,,1017.0,,,,
2025-01,16,106,8,18,0,33,19,10,2,56,1,3,4,15,12,72,166,3,2,9,4,18,10,1,8,114,8,5,2,42,14,1,6,2,24,0,0,5,2,2,47,3,37,8,11,7,11,130,2,1,49,36,1,4,0,9,,1163.0,,,,
2025-02,16,135,3,18,0,17,24,4,1,15,2,1,3,13,23,48,188,7,1,16,7,6,12,2,3,185,6,3,4,42,11,4,4,4,22,0,2,3,5,5,62,2,51,4,13,29,10,75,1,2,31,5,2,3,0,7,,1146.0,,,,
2025-03,16,152,4,66,1,26,26,10,2,23,1,4,2,9,22,78,194,9,1,3,17,2,12,9,1,175,6,6,2,56,12,3,6,9,38,1,0,14,3,3,64,3,31,27,27,23,34,35,6,5,11,12,1,4,0,35,,1326.0,,,,
2025-04,16,98,13,30,0,34,27,3,3,9,0,0,5,17,30,55,186,8,0,6,7,2,8,0,6,124,12,12,4,100,18,7,10,9,36,0,5,12,10,7,58,5,37,21,30,26,26,125,4,0,16,21,0,3,0,98,,1383.0,,,,
2025-05,16,105,5,22,1,30,23,3,3,14,1,0,4,21,22,86,191,15,2,8,9,1,12,2,7,213,13,12,1,114,17,12,7,21,40,1,2,3,13,10,79,9,58,157,221,42,65,32,3,2,10,9,1,2,6,148,,1910.0,,,,
2025-06,16,84,4,38,5,24,26,7,2,3,5,0,4,32,25,82,139,8,2,12,10,1,9,3,7,133,8,13,3,148,31,10,11,11,24,0,3,3,6,5,24,3,115,94,109,69,47,13,6,2,22,15,2,0,15,137,,1614.0,,,,
2025-07,16,134,7,46,4,39,29,6,3,32,3,0,2,24,22,80,138,17,5,24,15,8,9,2,7,144,7,13,4,156,23,10,25,8,54,0,1,4,8,10,62,5,40,109,115,29,57,24,6,3,68,30,1,6,15,135,,1828.0,,,,
2025-08,16,105,7,24,5,38,28,7,7,15,2,1,1,37,22,96,205,9,0,11,6,0,7,2,8,93,13,10,5,144,30,8,27,20,43,0,1,3,3,3,89,7,45,58,91,25,58,41,7,6,87,31,0,9,25,134,,1759.0,,,,
2025-09,16,114,6,18,1,44,23,10,6,21,4,0,3,35,30,86,171,12,3,13,14,1,8,3,4,54,6,7,0,146,32,5,18,20,38,1,3,7,3,9,61,9,43,42,35,29,38,17,5,4,88,9,0,4,10,94,,1467.0,,,,
2025-10,16,85,3,9,0,30,19,11,6,14,2,1,2,31,13,72,152,7,2,7,13,5,8,0,3,50,5,7,3,93,15,11,7,9,53,2,2,8,6,4,59,10,29,28,43,26,43,30,1,3,33,9,0,3,2,95,,1184.0,,,,
2025-11,16,68,2,13,0,29,19,7,2,9,0,0,6,20,12,58,133,7,3,8,8,2,8,3,0,58,9,2,1,100,9,5,7,19,31,0,2,3,5,6,21,8,33,11,39,21,18,63,0,1,23,3,0,1,0,214,,1130.0,,,,
2025-12,16,90,5,3,0,36,15,10,2,14,2,0,24,9,14,52,153,10,6,23,6,4,29,4,1,48,37,10,2,44,9,1,6,1,14,2,1,7,3,1,32,3,30,5,13,3,11,121,0,3,27,12,0,6,0,31,,995.0,,,,
2019-01,17,6,51,9,1,16,13,0,1,5,0,2,0,0,0,4,1,1,1,0,0,0,4,0,1,36,0,0,5,0,0,2,2,132,32,0,0,0,2,0,19,0,1,0,0,3,23,17,0,0,127,2,1,0,0,0,,,520.0,,,
2019-02,17,13,27,11,3,19,27,3,1,5,0,2,0,0,1,38,0,5,1,1,2,1,3,0,1,180,2,0,2,7,0,13,6,7,32,0,0,0,1,0,84,1,0,0,1,15,18,28,2,1,110,1,1,0,0,0,,,676.0,,,
2019-03,17,69,58,48,4,35,32,7,0,32,2,0,1,11,3,74,27,5,0,7,6,4,2,0,1,247,15,7,1,39,1,21,14,15,39,2,4,8,3,4,163,10,16,11,8,4,49,49,0,6,111,11,0,8,0,6,,,1300.0,,,
2019-04,17,40,63,52,6,26,30,2,3,20,0,0,0,14,3,93,26,16,0,7,6,1,5,0,1,184,3,1,1,56,8,32,46,34,54,3,11,13,8,6,159,7,27,29,16,14,70,165,8,5,47,18,1,11,0,5,,,1456.0,,,
2019-05,17,49,62,83,3,29,21,4,9,9,0,1,2,14,2,125,36,15,3,8,3,4,9,0,1,189,12,15,0,69,7,34,50,23,21,3,6,6,8,5,99,6,8,44,13,14,52,178,1,4,17,37,1,17,4,22,,,1457.0,,,
2019-06,17,59,47,51,4,28,20,0,6,8,0,0,0,16,4,102,74,12,2,9,4,0,14,0,1,175,4,15,0,124,17,38,36,14,60,1,2,1,14,4,113,5,18,43,28,22,62,159,5,12,15,16,1,2,10,24,,,1501.0,,,
2019-07,17,73,46,44,1,24,19,5,0,10,1,0,0,40,6,147,97,22,11,21,5,0,5,1,0,157,10,8,6,117,13,29,21,22,34,2,1,0,11,5,124,8,24,45,26,18,36,96,5,6,195,14,1,1,5,22,,,1640.0,,,
2019-08,17,63,53,46,3,65,26,0,3,8,2,1,0,17,5,124,53,13,9,9,12,3,7,0,5,135,4,6,5,129,13,32,19,34,16,0,4,2,12,3,143,3,15,44,19,32,65,116,5,3,236,6,2,5,5,20,,,1660.0,,,
2019-09,17,71,49,39,0,30,25,4,20,27,0,2,1,32,4,106,37,19,3,1,10,6,15,13,1,115,8,10,0,84,6,35,16,17,25,1,4,14,14,3,190,4,19,31,28,15,86,241,4,3,129,19,1,8,7,18,,,1670.0,,,
2019-10,17,66,79,29,4,28,25,3,2,17,1,1,1,19,4,83,52,16,2,8,10,3,5,2,3,88,1,5,1,91,11,35,45,9,12,0,9,3,5,3,238,4,15,15,37,7,37,113,1,4,54,22,0,81,6,6,,,1421.0,,,
